req,class,keyword-machine,word,score, tfidf,total,keyword-expert,similarity(0/1)
152,Maintainability,change,software,1.21543362,110.7865916,134.653748,,0
,,,change,1.149517361,138.783022,159.5334931,change,1
,,,control,1.112355159,79.13705095,88.0285069,,0
153,Maintainability,scope,scope,1.574505556,165.0275116,259.8367339,scope,1
,,,creep,1.574505556,165.0275116,259.8367339,,0
,,,project,0.981394444,44.93433103,44.09830281,,0
154,Reliability,phone,android,1.221,70.47045185,86.04442171,android,0
,,,google,1.213385417,81.71552162,99.15242227,,0
,,,phone,1.213385417,136.1647972,165.2203792,,0
Presisi,,,,,,,,0.363636364
