doc_id,req_id,req
DA-3,R49,One of the operational servers fails . The two deployment servers will be the replacements of each other
DA-3,R50,Any of the development workstations fail. There are 3 spare workstations in case of workstation failure.
DA-4,R1,User can see detailed information about SGP
DA-4,R2,User can apply for SGP
DA-4,R3,User can application update form for SGP
DA-4,R4,User can update personal data
DA-4,R5,User can upload application related documents
DA-4,R6,User can take english proficiency test
DA-4,R7,Added the project overview and project organization.
DA-4,R8,"Edited document template, project organization, and “Work Elements, Schedule, and Budget”."
DA-4,R9,Edited the project organization and managerial process. The document template was also revised.
DA-4,R10,Added 3.3 Risk Management section.
DA-4,R11,The design pattern used to create the CPSS is the MVC (Model View Controller) design pattern.  
DA-4,R12,The MVC design patter clearly separated the web application’s behavior  presentation and control.  
DA-5,R1,"The system supports (but does not require) streamlined staff login methods, for example staff member swipes a card to log into a terminal or the staff member logs into a terminal by using his/her individual login and password."
DA-5,R2,"System administrators can create reliable report templates that are available to staff, and can be run as is or modified to the staff person's particular needs. Changes in the templates could be done without comprising the results. The administrator can limit the filters and display fields that can be altered to certify a dependable output. For example, front-line staff could set the call number range for a weeding report or add or remove designated display fields from a pick list, but couldn’t alter the template to display deleted items."
DA-5,R3,"System provides distinct, fine-grained permission levels limiting who can create and clone reports. All permissions should be easy to administer. System administrators can create shared folders to allow or disallow staff to run specific reports, and/or to run ad hoc reports on specific sets of data."
DA-5,R4,"System provides a user-friendly interface for designing queries against all record types. Staff can select fields to query select values from picklist of possible values select regular expressions from drop-down menu, and use a full range of Boolean operators. Administrators control staff access to tables and fields."
DA-5,R5,"The system provides pre-defined reports for consumption by library boards or other consumers. There will be reports providing basic statistics like those required by the Georgia Annual Report and Application for State Aid and activity reports that indicate traffic and volume of use that display statistics on check-outs, check-ins, holds placed, and holds filled. It should be possible cross-tabulated per terminal, per branch, per library system, per hour, per patron age range, per patron type, and per patron location."
DA-5,R6,"Transactions are archived in a form that protects patron privacy as defined by State Law, while providing useful demographic statistics."
DA-5,R7,Examples of periodic reports: bibliographic records with holds items that have not been checked out in X days item-level holds items with invalid item type in-transit items with outstanding hold items that have been in-transit for more than X days items that are the last copy in thesystem items with a long call number missing items bibliographic records with no item records patrons with invalid home library.
DA-5,R8,System provides the query selections along with the results.
DA-5,R9,Ability to see where your report is in the queue of reports waiting to run.
DA-5,R10,System must be able to support the reporting definitions as described in Appendix A.
DA-5,R11,System must be able to support the fine-grained reports requirements as described in Appendix B.
DA-5,R12,"The system produces statistics that can be used to understand and predict patron behavior and use of materials. For example, how quickly is a particular book returned, on average? How likely is a particular book to be renewed? What percent of check-outs at a particular branch are renewals?"
DA-5,R13,"Ability to report on the volume of material in a given library at any point in time, based on new acquisitions, items on the shelf, and items out in circulation, with the ability to break down volume in categories (e.g. total items in library, number of holds, number of adult fiction, number of board books, etc)."
DA-5,R14,The system provides an interface showing capacity of all branches (as defined in PINES-014).
DA-5,R15,"For each genre and format of material, ability to compare the percentage of total circulations, the percentage of the collection, and the percentage of total shelf space that genre/format comprises. Ability to report per library and per system."
DA-5,R16,"Ability to control inventory of uncataloged material, such as paperback books and children's board books. Support for quick distribution minimal branch labor and ability to identify how the material is being used. Ability to count transactions and include in circulation statistics and reports."
DA-5,R17,"System provides a utility for transferring batches of items between branches, used for example to move books into a mobile library, an outreach program collection, or a ""just-in-time"" warehouse. Utility includes ability to query for candidate materials ability to save queries for repeated use ability to manually select titles from query results and ability to change records of all or selected items to move to new location. Mechanisms for moving items include changing location field, generating pull lists, etc. In addition, utility provides means to revert items to original location after a set period of time, and/or based on other criteria."
DA-5,R18,"The system generates a list of items that have been in-transit for more than X days (X configurable), per branch and per system.  The report would merge the transit to and transit from into one report for ease of front-line staff use."
DA-5,R19,"The system provides a utility and reports for identifying item records to purge, based on customizable criteria such as: an item has been in status ""missing"" for more than X months an item has status ""discard/weed"". The system has a report to assist in the conversion of items from one status to another. The system provides a last copy report that would single out a library system's last copies, to assist catalogers who need to edit WorldCat entries. The system provides a quick effective method of deleting volume entries along with copy entries, as well as records with no items attached."
DA-5,R20,"Ability to count and track record deletions (e.g. item records, patron records) per location and per system."
DA-5,R21,"Queries and reports can be limited or grouped by various patron characteristics, including: age range, zip code, county of residence, home branch, patron type, and preferred language."
DA-5,R22,"The system generates a list of patrons with no circulation or electronic activity in the last X days (X configurable).  List should be configurable to System, Home Library, County, etc."
DA-5,R23,Transaction history is maintained for X days (X is configurable) monthly and annual aggregate information is maintained indefinitely.
DA-5,R24,"Transactions can be grouped by hour, terminal, branch, and system. Transactions include check-ins, check-outs, fines collected, patron registrations, etc., and can be queried by all transactions or by type of transaction."
DA-5,R25,"The system counts all types of check-in individually and cumulatively: book-drop, by terminal, by user or self-service."
DA-5,R26,"The system counts all types of check-out individually and cumulatively: staff check-out, self check-out, staff renewal, self checkout renewal, online renewal, OPAC renewal."
DA-5,R27,"The system counts all hold requests, including how the hold was placed: at a staff desk, at a public computer inside the library, or remotely."
DA-5,R28,"The system can generate a report of transactions (holds placed, holds filled, and check-outs) per patron, per library, per selected group o libraries, per system, per county. The system displays the number of check-outs and placed holds per patron. Holds are subtotaled by type, e.g. active, frozen, and frozen-until holds."
DA-5,R29,"The system can generate a report of the value of items (based on data in item record) in the entire collection or a portion. Example: staff can obtain value of all items with status of longoverdue, or value of all dvds in children's collection, or value of entire collection."
DA-5,R30,"All reports and data archiving must comply with standard accounting practice and state, county, and municipal auditing requirements."
DA-5,R31,"Fines, charges, waivers, and ecommerce transactions are attached to patron and item records. System tracks fines waived and payments made per library. Financial information can be updated easily. As an example, a staff user can easily query patron accounts with balances greater than X dollars."
DA-5,R32,"The system provides financial reports including: patron account balances by patron, home library, and system fines and charges accrued per time period (e.g. last twelve months, YTD, last month) and per type of charge (overdue fines, damaged item charges, lost item charges, etc.) fines waived per time period and per branch payments made per time period and per payment method (e.g. staff desk, self-check station, OPAC)."
DA-5,R33,"The system maintains a ledger of patron payments, including which charges payments are applied to, to facilitate reconciliation."
DA-5,R34,"After the software design phase, a mockup will be built to show the functions and operations of the product. Later, an executable product with primary functions will be implemented."
DA-5,R35,"It is assumed that every team member has basic knowledge of Programming, Software Engineering, and Database."
DA-5,R36,Each subphase will have a team leader. This person will deliver a work schedule with weekly goals at the beginning of each subphase. 
DA-5,R37,"Used an existing template to structure the document. Added meeting minutes, project deliverables, references, and team members."
DA-5,R38,"Fixed up the formatting and table of contents, added the template reference."
DA-5,R39,"The diagram designer is in charge of designing the diagrams for the project documentation. This includes UML or diagrams for the prototype, process diagrams for management plans, and KAOS diagrams for documenting the requirements in graphical form."
DA-5,R40,"Ways to avoid scope creep are to develop change control procedures, have good designs and specifications to start, good communication, develop good software development process (avoiding agile software development)."
DA-5,R41,Be careful of “scope creep” which are uncontrolled changes.  Most large projects fall victim to scope creep. Scope creep often results in cost overrun.
DA-5,R42,"The major technology that you rely upon could possibly fail. These major technology risks are things like the Google phone, Android software and/or algorithms, etc."
